match_id,batter,runs,out,cum_runs,cum_outs,pavg,lfm,venue,savg
548346,A Ashish Reddy,10,1,,,0.0,0.0,Wankhede Stadium,0.0
548352,A Ashish Reddy,3,1,10.0,1.0,10.0,10.0,MA Chidambaram Stadium,0.0
548359,A Ashish Reddy,8,1,13.0,2.0,6.5,6.5,Rajiv Gandhi International Stadium,0.0
548373,A Ashish Reddy,10,0,21.0,3.0,7.0,7.0,Rajiv Gandhi International Stadium,8.0
548376,A Ashish Reddy,4,1,31.0,3.0,10.333333333333334,7.75,Rajiv Gandhi International Stadium,9.0
598000,A Ashish Reddy,7,0,35.0,4.0,8.75,7.0,Rajiv Gandhi International Stadium,7.333333333333333
598004,A Ashish Reddy,14,1,42.0,4.0,10.5,6.4,Rajiv Gandhi International Stadium,7.25
598010,A Ashish Reddy,16,1,56.0,5.0,11.2,8.6,Arun Jaitley Stadium,0.0
598013,A Ashish Reddy,4,1,72.0,6.0,12.0,10.2,Eden Gardens,0.0
598018,A Ashish Reddy,19,0,76.0,7.0,10.857142857142858,9.0,Maharashtra Cricket Association Stadium,0.0
598021,A Ashish Reddy,7,0,95.0,7.0,13.571428571428571,12.0,Rajiv Gandhi International Stadium,8.6
598030,A Ashish Reddy,36,0,102.0,7.0,14.571428571428571,12.0,MA Chidambaram Stadium,3.0
598032,A Ashish Reddy,14,1,138.0,7.0,19.714285714285715,16.4,Sawai Mansingh Stadium,0.0
598044,A Ashish Reddy,5,1,152.0,8.0,19.0,16.0,Rajiv Gandhi International Stadium,8.333333333333334
598048,A Ashish Reddy,3,1,157.0,9.0,17.444444444444443,16.2,M Chinnaswamy Stadium,0.0
829727,A Ashish Reddy,13,0,160.0,10.0,16.0,13.0,Other,0.0
829731,A Ashish Reddy,15,1,173.0,10.0,17.3,14.2,Other,13.0
829759,A Ashish Reddy,22,0,188.0,11.0,17.09090909090909,10.0,Punjab Cricket Association IS Bindra Stadium,0.0
829773,A Ashish Reddy,6,1,210.0,11.0,19.09090909090909,11.6,Rajiv Gandhi International Stadium,7.857142857142857
829815,A Ashish Reddy,17,1,216.0,12.0,18.0,11.8,Rajiv Gandhi International Stadium,7.625
980907,A Ashish Reddy,32,1,233.0,13.0,17.923076923076923,14.6,M Chinnaswamy Stadium,3.0
980915,A Ashish Reddy,13,1,265.0,14.0,18.928571428571427,18.4,Rajiv Gandhi International Stadium,8.666666666666666
980953,A Ashish Reddy,2,0,278.0,15.0,18.533333333333335,18.0,Rajiv Gandhi International Stadium,9.1
1304050,A Badoni,54,1,,,0.0,0.0,Wankhede Stadium,0.0
1304053,A Badoni,19,0,54.0,1.0,54.0,54.0,Brabourne Stadium,0.0
1304058,A Badoni,19,1,73.0,1.0,73.0,36.5,Dr DY Patil Sports Academy,0.0
1304061,A Badoni,10,0,92.0,2.0,46.0,30.666666666666668,Dr DY Patil Sports Academy,19.0
1304066,A Badoni,5,1,102.0,2.0,51.0,25.5,Wankhede Stadium,54.0
1304077,A Badoni,13,1,107.0,3.0,35.666666666666664,21.4,Dr DY Patil Sports Academy,14.5
1304083,A Badoni,14,1,120.0,4.0,30.0,13.2,Wankhede Stadium,29.5
1304088,A Badoni,4,1,134.0,5.0,26.8,12.2,Maharashtra Cricket Association Stadium,0.0
1304099,A Badoni,15,1,138.0,6.0,23.0,9.2,Maharashtra Cricket Association Stadium,4.0
1304103,A Badoni,8,1,153.0,7.0,21.857142857142858,10.2,Maharashtra Cricket Association Stadium,9.5
1304109,A Badoni,0,1,161.0,8.0,20.125,10.8,Brabourne Stadium,19.0
1359477,A Badoni,18,1,161.0,9.0,17.88888888888889,8.2,Other,0.0
1359480,A Badoni,23,1,179.0,10.0,17.9,9.0,MA Chidambaram Stadium,0.0
1359489,A Badoni,30,1,202.0,11.0,18.363636363636363,12.8,M Chinnaswamy Stadium,0.0
1359495,A Badoni,5,0,232.0,12.0,19.333333333333332,15.8,Other,18.0
1359500,A Badoni,1,1,237.0,12.0,19.75,15.2,Sawai Mansingh Stadium,0.0
1359504,A Badoni,8,0,238.0,13.0,18.307692307692307,15.4,Other,11.5
1359512,A Badoni,43,1,246.0,13.0,18.923076923076923,13.4,Punjab Cricket Association IS Bindra Stadium,0.0
1359517,A Badoni,4,1,289.0,14.0,20.642857142857142,17.4,Other,10.333333333333334
1359519,A Badoni,59,0,293.0,15.0,19.533333333333335,12.2,Other,8.75
1359525,A Badoni,21,1,352.0,15.0,23.466666666666665,23.0,Narendra Modi Stadium,0.0
1359542,A Badoni,25,1,373.0,16.0,23.3125,27.0,Eden Gardens,0.0
1370351,A Badoni,1,1,398.0,17.0,23.41176470588235,30.4,MA Chidambaram Stadium,23.0
1422122,A Badoni,1,1,399.0,18.0,22.166666666666668,22.0,Sawai Mansingh Stadium,1.0
1422129,A Badoni,8,1,400.0,19.0,21.05263157894737,21.4,Other,18.8
1422133,A Badoni,0,1,408.0,20.0,20.4,11.2,M Chinnaswamy Stadium,30.0
1422139,A Badoni,20,1,408.0,21.0,19.428571428571427,7.0,Other,17.0
1426264,A Badoni,55,0,428.0,22.0,19.454545454545453,6.0,Other,17.428571428571427
1426266,A Badoni,29,1,483.0,22.0,21.954545454545453,16.8,Eden Gardens,25.0
1426282,A Badoni,18,0,512.0,23.0,22.26086956521739,22.4,Other,22.125
1426286,A Badoni,6,1,530.0,23.0,23.043478260869566,24.4,Other,21.666666666666668
1426292,A Badoni,15,1,536.0,24.0,22.333333333333332,25.6,Other,20.1
1426295,A Badoni,55,0,551.0,25.0,22.04,24.6,Rajiv Gandhi International Stadium,0.0
1426302,A Badoni,6,1,606.0,25.0,24.24,24.6,Arun Jaitley Stadium,0.0
1426305,A Badoni,22,0,612.0,26.0,23.53846153846154,20.0,Wankhede Stadium,24.333333333333332
548373,A Chandila,0,1,,,0.0,0.0,Rajiv Gandhi International Stadium,0.0
598023,A Chandila,4,0,0.0,1.0,0.0,0.0,M Chinnaswamy Stadium,0.0
336010,A Chopra,2,1,,,0.0,0.0,Eden Gardens,0.0
336014,A Chopra,24,1,2.0,1.0,2.0,2.0,Rajiv Gandhi International Stadium,0.0
336017,A Chopra,13,1,26.0,2.0,13.0,13.0,Eden Gardens,2.0
336021,A Chopra,1,0,39.0,3.0,13.0,13.0,Wankhede Stadium,0.0
336035,A Chopra,2,1,40.0,3.0,13.333333333333334,10.0,Eden Gardens,7.5
392184,A Chopra,11,1,42.0,4.0,10.5,8.4,Other,0.0
1082591,A Choudhary,6,1,,,0.0,0.0,Rajiv Gandhi International Stadium,0.0
1082621,A Choudhary,15,0,6.0,1.0,6.0,6.0,M Chinnaswamy Stadium,0.0
1082633,A Choudhary,4,1,21.0,1.0,21.0,10.5,M Chinnaswamy Stadium,15.0
1136569,A Dananjaya,4,0,,,0.0,0.0,Wankhede Stadium,0.0
392181,A Flintoff,24,1,,,0.0,0.0,Other,0.0
392185,A Flintoff,22,0,24.0,1.0,24.0,24.0,Other,24.0
392189,A Flintoff,16,1,46.0,1.0,46.0,23.0,Other,23.0
1426298,A Kamboj,2,0,,,0.0,0.0,Eden Gardens,0.0
336006,A Kumble,3,0,,,0.0,0.0,M Chinnaswamy Stadium,0.0
336016,A Kumble,0,0,3.0,0.0,0.0,3.0,Punjab Cricket Association IS Bindra Stadium,0.0
336023,A Kumble,8,1,3.0,0.0,0.0,1.5,Sawai Mansingh Stadium,0.0
336029,A Kumble,2,0,11.0,1.0,11.0,3.6666666666666665,MA Chidambaram Stadium,0.0
392185,A Kumble,1,0,13.0,1.0,13.0,3.25,Other,0.0
