batting_team,over,weight
Chennai Super Kings,0,0.6482176603070232
Chennai Super Kings,1,0.8325351419917679
Chennai Super Kings,2,0.9516166610577546
Chennai Super Kings,3,1.0406689274897098
Chennai Super Kings,4,1.083641823500479
Chennai Super Kings,5,1.133863159802221
Chennai Super Kings,6,0.8491030055139921
Chennai Super Kings,7,0.8744725465323979
Chennai Super Kings,8,0.952134406792824
Chennai Super Kings,9,0.8884516813792747
Chennai Super Kings,10,0.955240881203241
Chennai Super Kings,11,1.0028734888296358
Chennai Super Kings,12,0.9433327292966425
Chennai Super Kings,13,1.0339382329338063
Chennai Super Kings,14,1.0660384685081157
Chennai Super Kings,15,1.0525770793963085
Chennai Super Kings,16,1.1059048901084676
Chennai Super Kings,17,1.2187734603536202
Chennai Super Kings,18,1.1851199875741023
Chennai Super Kings,19,1.1814957674286157
Deccan Chargers,0,0.8409665881531886
Deccan Chargers,1,1.0712727907179622
Deccan Chargers,2,0.987525080694408
Deccan Chargers,3,0.9962488004885284
Deccan Chargers,4,1.022419959870889
Deccan Chargers,5,1.0433568873767776
Deccan Chargers,6,0.823519148564948
Deccan Chargers,7,0.940416993806159
Deccan Chargers,8,0.9055221146296781
Deccan Chargers,9,0.8758614673296694
Deccan Chargers,10,0.9822908488179359
Deccan Chargers,11,1.0869754863473786
Deccan Chargers,12,0.9090116025473262
Deccan Chargers,13,0.9927593125708802
Deccan Chargers,14,1.0555700950885458
Deccan Chargers,15,1.0363779115414813
Deccan Chargers,16,1.2248102590944778
Deccan Chargers,17,1.1707231963709326
Deccan Chargers,18,1.064293814882666
Deccan Chargers,19,0.9700776411061676
Delhi Capitals,0,0.8414123890192877
Delhi Capitals,1,1.0271456271048065
Delhi Capitals,2,1.0705173997346669
Delhi Capitals,3,1.0659250943973875
Delhi Capitals,4,1.145014797428309
Delhi Capitals,5,1.0082661496071026
Delhi Capitals,6,0.9143790182671702
Delhi Capitals,7,0.9123379936728238
Delhi Capitals,8,0.9771405245433208
Delhi Capitals,9,0.9460148994795388
Delhi Capitals,10,1.0036738442698234
Delhi Capitals,11,0.9628533523828963
Delhi Capitals,12,1.0373507500765384
Delhi Capitals,13,0.9378508011021534
Delhi Capitals,14,0.9562200224512706
Delhi Capitals,15,1.017961016430248
Delhi Capitals,16,1.102663537095622
Delhi Capitals,17,1.086335340340851
Delhi Capitals,18,0.9985712827839576
Delhi Capitals,19,0.9883661598122258
Gujarat Lions,0,0.8597285067873304
Gujarat Lions,1,0.9296585767174003
Gujarat Lions,2,1.20937885643768
Gujarat Lions,3,1.1065405183052242
Gujarat Lions,4,1.0983134512546278
Gujarat Lions,5,1.20937885643768
Gujarat Lions,6,1.065405183052242
Gujarat Lions,7,1.0242698477992596
Gujarat Lions,8,0.9954751131221719
Gujarat Lions,9,1.0078157136980666
Gujarat Lions,10,0.9790209790209791
Gujarat Lions,11,0.835047305635541
Gujarat Lions,12,0.9461127108185932
Gujarat Lions,13,1.0407239819004526
Gujarat Lions,14,0.925545043192102
Gujarat Lions,15,0.9790209790209791
Gujarat Lions,16,1.0612916495269435
Gujarat Lions,17,1.0160427807486632
Gujarat Lions,18,0.9543397778691897
Gujarat Lions,19,0.7568901686548746
Gujarat Titans,0,0.7425551115121826
Gujarat Titans,1,1.0029650638133298
Gujarat Titans,2,1.0158566456104163
Gujarat Titans,3,0.9204589403119763
Gujarat Titans,4,0.9488204202655666
Gujarat Titans,5,1.0003867474539125
Gujarat Titans,6,0.8250612350135361
Gujarat Titans,7,0.8456877658888745
Gujarat Titans,8,1.0416398092045893
Gujarat Titans,9,0.9204589403119763
Gujarat Titans,10,0.9488204202655666
Gujarat Titans,11,1.0493747582828412
Gujarat Titans,12,0.866314296764213
Gujarat Titans,13,0.987495165656826
Gujarat Titans,14,1.0700012891581798
Gujarat Titans,15,1.113832667268274
Gujarat Titans,16,1.1808688926131237
Gujarat Titans,17,1.1731339435348718
Gujarat Titans,18,1.2040737398478794
Gujarat Titans,19,1.1421941472218642
Kochi Tuskers Kerala,0,1.0836401893740137
Kochi Tuskers Kerala,1,1.0099947396107312
Kochi Tuskers Kerala,2,1.209889531825355
Kochi Tuskers Kerala,3,1.3256180957390848
Kochi Tuskers Kerala,4,1.020515518148343
Kochi Tuskers Kerala,5,1.504471330878485
Kochi Tuskers Kerala,6,0.9363492898474488
Kochi Tuskers Kerala,7,0.9047869542346133
Kochi Tuskers Kerala,8,0.9258285113098369
Kochi Tuskers Kerala,9,0.8100999473961074
Kochi Tuskers Kerala,10,0.8521830615465544
Kochi Tuskers Kerala,11,1.0941609679116255
Kochi Tuskers Kerala,12,1.1362440820620725
Kochi Tuskers Kerala,13,0.9047869542346133
Kochi Tuskers Kerala,14,1.1783271962125197
Kochi Tuskers Kerala,15,0.5576012624934245
Kochi Tuskers Kerala,16,0.8627038400841662
Kochi Tuskers Kerala,17,0.8942661756970016
Kochi Tuskers Kerala,18,0.9889531825355076
Kochi Tuskers Kerala,19,0.7995791688584954
Kolkata Knight Riders,0,0.8746281559075539
Kolkata Knight Riders,1,0.966159009432763
Kolkata Knight Riders,2,1.0241285499987287
Kolkata Knight Riders,3,1.0770130431466274
Kolkata Knight Riders,4,1.0739620146957871
Kolkata Knight Riders,5,1.056164348732552
Kolkata Knight Riders,6,0.859881518395159
Kolkata Knight Riders,7,0.9325976964735195
Kolkata Knight Riders,8,0.9188680684447382
Kolkata Knight Riders,9,0.9870077038468383
Kolkata Knight Riders,10,0.96971854262541
Kolkata Knight Riders,11,0.9987033129083929
Kolkata Knight Riders,12,1.0404007017365438
Kolkata Knight Riders,13,1.0409092064783505
Kolkata Knight Riders,14,1.0322646258676362
Kolkata Knight Riders,15,1.052604815539905
Kolkata Knight Riders,16,1.1141338892985178
Kolkata Knight Riders,17,1.0963362233352827
Kolkata Knight Riders,18,1.0317561211258295
Kolkata Knight Riders,19,0.8527624520098651
Lucknow Super Giants,0,0.5725699067909453
Lucknow Super Giants,1,0.8442077230359522
Lucknow Super Giants,2,1.003994673768309
Lucknow Super Giants,3,1.0199733688415447
Lucknow Super Giants,4,1.0865512649800266
Lucknow Super Giants,5,1.0119840213049267
Lucknow Super Giants,6,0.7323568575233022
Lucknow Super Giants,7,1.0119840213049267
Lucknow Super Giants,8,1.0306258322237019
Lucknow Super Giants,9,1.014647137150466
Lucknow Super Giants,10,1.0119840213049267
Lucknow Super Giants,11,0.8388814913448734
Lucknow Super Giants,12,1.078561917443409
Lucknow Super Giants,13,1.0252996005326231
Lucknow Super Giants,14,1.1025299600532623
Lucknow Super Giants,15,1.0386151797603196
Lucknow Super Giants,16,1.0386151797603196
Lucknow Super Giants,17,1.1131824234354195
Lucknow Super Giants,18,1.3768308921438082
Lucknow Super Giants,19,1.0466045272969373
Mumbai Indians,0,0.7454476479514416
Mumbai Indians,1,0.8777503793626708
Mumbai Indians,2,1.0043626707132018
Mumbai Indians,3,1.0446699544764795
Mumbai Indians,4,1.0569992412746585
